Customer_id,date,time,order_id,items,amount,mode,restaurant,Status,ratings,feedback,delivery_time,order_preperation_time,premium_member,Restraunt_location
1,2023-11-10,08:31:21,101,Soup of the day,25.5,Online,Brussels Mussels,Delivered,4.0,Good service,20.0,15.0,Yes,Austin
2,2023-11-11,09:31:21,102,Olives,30.0,In-person,Sushi Masters,On Hold,3.0,Delayed delivery,30.0,20.0,Yes,Houston
3,2023-11-12,10:31:21,103,Quiche,22.75,Online,Saint German,Delivered,5.0,Excellent experience,10.0,13.0,No,Dallas
4,2024-03-01,05:29:18,104,Quiche,44.36,In-person,Telegrafas,Cancelled,0.0,Not required,,0.0,Yes,Houston
5,2023-08-17,21:16:57,105,Soup of the day,13.55,In-person,Stebuklai,On Hold,1.0,,,0.0,Yes,Houston
6,2024-04-08,22:28:55,106,Quiche,44.6,In-person,Le Travi,Delivered,3.0,good quantity,22.0,9.0,No,Plano
7,2023-09-13,18:22:05,107,Quiche,22.82,In-person,Stebuklai,Delivered,3.0,Prompt delivery,44.0,22.0,Yes,Austin
8,2023-11-08,07:14:26,108,Soup of the day,17.13,Online,Gaspar,Delivered,3.0,good quantity,30.0,18.0,Yes,Dallas
9,2023-12-07,00:41:08,109,Soup of the day,19.57,Online,Sushi Masters,On Hold,0.0,recieved better price elsewhere,,0.0,Yes,Dallas
10,2023-08-28,06:41:51,110,Quiche,26.72,In-person,Stebuklai,On Hold,0.0,Not required,,0.0,No,Plano
11,2023-11-18,22:23:18,111,Olives,20.05,Online,Veranda,Delivered,4.0,Will order again,41.0,26.0,No,San Antonio
12,2024-01-25,21:30:43,112,Quiche,22.82,Online,Veranda,Cancelled,1.0,delay in order,,0.0,Yes,Corpus Christi
13,2024-01-22,04:31:27,113,Quiche,15.4,Online,Saint German,Cancelled,3.0,,,0.0,Yes,Austin
14,2023-12-08,23:15:04,114,Quiche,21.85,Online,Telegrafas,Delivered,4.0,Reached on time,22.0,8.0,No,Austin
15,2023-09-12,18:25:38,115,Quiche,32.89,Online,Saint German,On Hold,3.0,delay in order,,0.0,No,San Antonio
16,2023-09-21,09:21:44,116,Soup of the day,27.67,Online,Sushi Masters,On Hold,0.0,bad experience,,0.0,No,San Antonio
17,2024-03-29,15:56:09,117,Quiche,23.87,In-person,Selfish,Delivered,4.0,High price,25.0,14.0,Yes,Austin
